Component,Failure_Mode,Effect,S,Cause,O,Current_Controls,D,RPN,Recommended_Action,Nerves_Pi_Impact,Residual_RPN_with_Nerves
Capacitive soil moisture sensor (per zone),Calibration drift (reads high or low of true value),Watering decisions based on incorrect moisture level — chronic under- or over-watering; no visible alert,6,Sensor ageing; substrate salinity; temperature coefficient; no field calibration performed,6,Dual sensor cross-comparison (v5.0 firmware) — divergence >10% flagged immediately; moisture_diverged flag sent to server,2,72,Per-zone wet/dry calibration at commissioning; periodic recalibration prompts; cross-zone ML anomaly detection,None — improvement comes from dual sensor hardware; not Nerves Pi,72
Capacitive soil moisture sensor (per zone),Stuck at constant reading (wet or dry),Stuck-wet causes chronic overwatering; stuck-dry may trigger critical_dry alert and excessive watering attempts,8,Waterlogged sensor; cracked electrode; wiring fault; sensor face fouled,5,Dual sensor cross-comparison (v5.0 firmware) — stuck sensor immediately disagrees with live sensor; stuck_moisture software check also active,2,80,Alert if reading unchanged for >6h while valve not open; rolling min/max window per zone,None — improvement comes from dual sensor hardware,80
DHT22 (air temp + humidity shared),Calibration drift / incorrect readings,VPD calculated incorrectly — watering decisions distorted for all zones on the ESP32; no alert fires,6,Sensor ageing; contamination; no plausibility check; no reference comparison,5,Dual DHT22 cross-comparison (v5.0 firmware) — divergence >2°C or >5% RH flagged immediately; dht_diverged flag sent to server,2,60,Bounds check (temp -5 to 50°C RH 0–100%); periodic physical calibration; cross-site ML comparison,None — improvement comes from dual sensor hardware,60
MLX90614/GY-906 BAA (leaf IR temp shared),Incorrect readings (FOV too wide / emissivity mismatch),Leaf temp inaccurate — plant stress not detected; if used in future watering logic it will cause errors,5,Wide FOV captures background; emissivity not set for vegetation; wrong variant (non-BAA),6,None,8,240,Validate leaf temp vs air temp during commissioning; narrow FOV baffle; confirm BAA variant used,None (hardware accuracy is unchanged),240
Wiring and connectors (all external),Connector corrosion / high-resistance joint,Intermittent power or signal faults on any connected component; difficult to diagnose remotely,6,Outdoor environment; humidity; no weatherproofing on bare connectors; no annual inspection,5,None,8,240,Weatherproof connectors; silicone sealant; conformal coat PCBs; annual inspection,None (hardware failure is unchanged),240
Solenoid valve (normally closed 5V),Mechanical failure open (stuck open regardless of relay/power state),Zone continuously waters — root rot; water waste; not caught by NC fail-safe (power-on mechanical failure),10,Debris in valve seat; diaphragm failure; physical damage,2,NC selection handles power-loss case only; mechanical stuck-open bypasses all controls,10,200,Inline manual shutoff per zone; flow sensor (future); periodic physical inspection,None,200
Solenoid valve (normally closed 5V),Slow internal leak through closed valve,Gradual overwatering undetected — no alert; accumulates over days or weeks,5,Worn diaphragm/seat; particulates; valve age,4,None,9,180,Trend alert if moisture rises without watering event (ML layer),Minor (Pi ML layer could detect moisture rise trend more reliably),160
Power supply (12V DC adapter or battery),Complete failure (no output),Total site loss — ESP32 offline; all zones offline; valves fail-safe closed (NC); zone offline alert fires after 30 min,7,Wall adapter failure; battery depletion; blown fuse; mains outage,3,NC solenoids fail safe; zone offline alert fires after 30 min,7,147,Voltage monitoring on ESP32 ADC; UPS/battery backup,None,147
Power supply (12V DC adapter or battery),Under-voltage / degraded output,ESP32 resets or behaves erratically; relays may not actuate; sensors read incorrectly,6,Ageing adapter; high load; long cable run; battery nearing end of discharge,3,None,8,144,Monitor 3.3V rail on ESP32; alert on frequent reboots,None,144
4G LTE router,Router crash / reboot,ESP32 loses MQTT connection; switches to local fallback mode; zone offline alert after 30 min,5,Firmware bug; overheating; power fluctuation,4,ESP32 local fallback; MQTT reconnect; zone offline alert after 30 min,5,100,No additional action required beyond existing controls; consider auto-restart on router,Significant (Pi is WAN gateway; ESP32-to-Pi link is local and shorter range),60
ESP32 dev board,WiFi connection lost (unable to reconnect),Zone goes offline; local fallback continues watering; no remote visibility; offline alert after 30 min,5,Router failure; channel congestion; firmware WiFi stack bug; distance,4,ESP32 reconnect loop; local fallback; zone offline alert after 30 min,5,100,No additional action required; consider watchdog ping to detect persistent failure,Significant (Pi is WAN gateway — local ESP32-to-Pi link eliminates long-range WiFi dependency),50
DC-DC buck converter (LM2596),Output fails (no 5V),ESP32 loses power; all zones offline; valves fail-safe closed; zone offline alert fires,7,Overload; thermal failure; input voltage loss; component failure,2,NC solenoids fail safe; zone offline alert fires after 30 min,7,98,Voltage monitoring on ESP32 ADC to detect pre-failure under-voltage; inline fuse on input,None,98
4G LTE router,SIM data exhausted / deactivated,Permanent loss of remote connectivity to site; zone offline alert fires; local fallback continues,7,No usage monitoring; prepaid SIM cap reached; account lapse,2,None,7,98,Data usage monitoring; auto-renew SIM; alert approaching cap,Significant (Pi buffers locally during outage — data preserved when link restored),70
BH1750/GY-302 (light sensor I2C shared),Wrong readings (dirty / shadowed),Lux data inaccurate; currently not used in watering decisions so operational impact is low,2,Dust/bird droppings on lens; physical shadowing; no maintenance schedule,5,None,9,90,Low priority; clean sensor during routine maintenance visits,None,90
4-channel relay module (5V coil),Relay chatter (intermittent),Valve stutters open/closed; water hammer in lines; inconsistent watering; difficult to diagnose,6,Insufficient GPIO drive current for 5V coil; marginal 3.3V signal level; power rail noise,3,None,5,90,Use optoisolated relay module; add BJT driver between ESP32 GPIO and relay IN if needed,None,90
Capacitive soil moisture sensor (per zone),Hard failure (open circuit / no output),Zone drops to no_moisture mode; local fallback uses VPD-only watering; sensor_ok alert fires,5,Physical damage; waterlogging; cable break; connector failure,6,sensor_ok flag; no_moisture mode; alert fires,3,90,No additional action required beyond existing controls,None,90
4G LTE router,Router hardware failure (permanent),Permanent site connectivity loss; local fallback continues; zone stays offline until physical replacement,7,Component failure; lightning; physical damage; end of life,2,Zone offline alert; physical replacement required,6,84,Spare router kept on site or at office; consider dual-SIM router for redundancy,Significant (Pi buffers data locally — no data loss when link restored),63
Solenoid valve (normally closed 5V),Mechanical failure closed (won't open),Zone never waters; plants dry out; dripper_fault detection alerts,7,Debris jamming diaphragm; broken actuator; coil fault; stuck diaphragm,3,dripper_fault detection,4,84,No additional action required beyond existing controls; inspect on fault alert,None,84
4G LTE router,4G signal loss (coverage),Connectivity drops; local fallback continues; zone offline alert after 30 min,5,Tower outage; atmospheric conditions; site location; antenna failure,3,ESP32 local fallback,5,75,External antenna upgrade; site survey before install,Significant (Pi is WAN gateway; local ESP32-to-Pi link unaffected by 4G loss),45
ESP32 dev board,Hardware failure (dead board),All zones on that ESP32 go offline; local fallback stops; valves fail-safe closed,7,Lightning; ESD; physical damage; manufacturing defect; power surge,2,Zone offline alert fires,5,70,Spare ESP32 per site; TVS protection on power input,None,70
4-channel relay module (5V coil),Contact welds closed (valve cannot open),Zone never waters; plants dry out; dripper_fault detection catches failure,7,Inductive spike without flyback diode; high current; contact degradation,2,dripper_fault detection,5,70,Flyback diode across solenoid coil to suppress inductive spike; reduces weld risk,None,70
4-channel relay module (5V coil),Coil failure (cannot actuate),Valve cannot open; zone never waters; dripper_fault detection catches failure,7,Coil overheating; overvoltage; manufacturing defect; excessive switching,2,dripper_fault detection,5,70,Flyback diode across solenoid coil; optoisolated relay module preferred,None,70
Solenoid valve (normally closed 5V),Coil burnout (overheating from continuous energisation),Valve fails open or closed; may permanently damage valve; limited by safety timeouts,7,Software bug bypassing timeout; watchdog failure; stuck relay keeping valve energised >60s,2,ESP32 60s safety timeout; ZoneServer 120s watchdog,5,70,No additional action required; timeouts provide adequate protection,None,70
ESP32 dev board,Flash memory corruption (unbootable),ESP32 fails to boot; zone permanently offline until physical reflash or replacement,7,Power loss during OTA flash; bad flash block; ESD,2,OTA bootloader rollback restores previous firmware automatically,4,56,No additional action required beyond existing OTA rollback,None,56
4-channel relay module (5V coil),Contact welds open (valve continuously on),Zone continuously waters; root rot; water waste; ZoneServer detects stuck valve at 120s and sends stop,9,High inductive load without flyback diode; contact degradation; overcurrent,3,ZoneServer 120s stuck-valve detection; stop command sent; alert fires; NC solenoid safe on power loss,2,54,Flyback diode across solenoid coil to reduce arc energy at contact opening,None,54
Wiring and connectors (all external),Cable break (physical damage),Loss of sensor data or valve control on affected zone; sensor_ok or dripper_fault detection catches result,6,Mechanical damage; UV degradation; vermin; cable strain at connectors,3,sensor_ok (sensor cables); dripper_fault (valve cables),3,54,Cable conduit or armoured cable in exposed runs; strain relief at all connectors,None,54
MicroSD card module + card,Silent write failure during operation,Local log data lost silently; data gaps in zone history not visible until queried,3,Card wear-out; power glitch during write; filesystem corruption,3,None,8,72,Periodic write-verify; log SD errors over MQTT to server,Minor (Pi takes over local storage role — on-ESP32 SD less critical),24
DHT22 (air temp + humidity shared),Hard failure (no response),All zones on ESP32 drop to no_vpd mode; VPD-based watering suspended; sensor_ok alert fires,5,Physical damage; wiring fault; power loss to sensor,5,sensor_ok flag; no_vpd mode; alert fires,2,50,No additional action required beyond existing controls,None,50
ESP32 dev board,GPIO failure (stuck input/output),One zone may open or fail to open; AO3401 protects VCC rail; sensor_ok or dripper_fault detects result,6,ESD; overvoltage on GPIO; soldering defect,2,AO3401 protects VCC rail; sensor_ok or dripper_fault detects consequence,3,36,TVS diodes on GPIO lines for field-deployed units,None,36
ESP32 dev board,Firmware crash / watchdog reset,Brief interruption; WDT auto-resets within seconds; NC solenoids close safe; data gap visible in history,3,Memory leak; stack overflow; sensor library hang; MQTT callback exception,4,Internal WDT auto-resets; NC solenoids fail-safe closed; data gap visible in history,3,36,No additional action required beyond existing controls,None,36
AO3401 MOSFET (sensor VCC reverse polarity protection),Open circuit,Sensor loses VCC supply; sensor hard-fails; detected by sensor_ok flag and alert fires,5,Overcurrent; ESD; soldering defect; physical damage to SOT-23 package,2,sensor_ok flag catches hard sensor failure downstream,3,30,No additional action required beyond existing controls,None,30
Wiring and connectors (all external),I2C bus lockup (one device pulls SDA low — both shared sensors affected),Both BH1750 and MLX90614 fail simultaneously; sensor_ok catches both; ESP32 I2C timeout recovery runs,5,Failing device holding SDA low; capacitance on long cable run; moisture ingress into connector,3,sensor_ok catches both failures simultaneously; ESP32 I2C timeout recovery,2,30,I2C bus isolator (PCA9517) or per-device power cycling via AO3401; pull-up resistor values reviewed for cable length,None,30
MicroSD card module + card,Card failure / ejected / not present,Local data logging stops; server DB remains primary; startup presence check logged to serial,3,Physical ejection; card wear-out; power cycle during write; poor contact,4,Startup presence check logged to serial,4,48,No additional action required — Nerves Pi makes on-ESP32 SD less critical,Minor (Pi takes over local storage role),18
BH1750/GY-302 (light sensor I2C shared),Hard failure (no I2C response),Lux data unavailable; lux not used in watering decisions; sensor_ok flag raised,4,Physical damage; I2C address conflict; power loss; wiring fault,3,sensor_ok flag,2,24,No additional action required beyond existing controls,None,24
MLX90614/GY-906 BAA (leaf IR temp shared),Hard failure (no I2C response),Leaf temp unavailable; sensor_ok flag raised; alert fires,4,Physical damage; I2C address conflict; power loss; wiring fault,3,sensor_ok flag,2,24,No additional action required beyond existing controls,None,24
AO3401 MOSFET (sensor VCC reverse polarity protection),Short circuit (gate-source),Sensor VCC permanently on — intended normal state; no operational impact,1,Manufacturing defect; overvoltage transient on gate,2,Gate is tied to GND by design; short to GND on gate is the normal biasing condition,10,20,No action required — failure mode results in normal operating state,None,20
DC-DC buck converter (LM2596),Output too high (over-voltage),Over-voltage on 5V rail damages ESP32; relay module; sensors; potentially all hardware on the ESP32,9,Adjustable module pot drifts; component failure; incorrect initial setting,1,None,9,81,TVS diode on 5V rail; use fixed-output (non-adjustable) 5V modules; verify output with multimeter during commissioning,None,81

,,,,,,,,,,,
NOTE — Dual sensor implementation (firmware v5.0),Adds ADS1115 secondary moisture sensors and second DHT22 per ESP32. Cross-comparison drops Detection from 8-9 to 2 for drift/stuck failures. Three previously highest-RPN hardware items drop from 270-324 to 60-80.,,,,,,,,,,
,,,,,,,,,,,
TOP RISKS SUMMARY — RPN >= 150,,,,,,,,,,,
Component,Failure_Mode,Effect,S,Cause,O,Current_Controls,D,RPN,Recommended_Action,Nerves_Pi_Impact,Residual_RPN_with_Nerves
MLX90614/GY-906 BAA (leaf IR temp shared),Incorrect readings (FOV too wide / emissivity mismatch),Leaf temp inaccurate — plant stress not detected; if used in future watering logic it will cause errors,5,Wide FOV captures background; emissivity not set for vegetation; wrong variant (non-BAA),6,None,8,240,Validate leaf temp vs air temp during commissioning; narrow FOV baffle; confirm BAA variant used,None (hardware accuracy is unchanged),240
Wiring and connectors (all external),Connector corrosion / high-resistance joint,Intermittent power or signal faults on any connected component; difficult to diagnose remotely,6,Outdoor environment; humidity; no weatherproofing on bare connectors; no annual inspection,5,None,8,240,Weatherproof connectors; silicone sealant; conformal coat PCBs; annual inspection,None (hardware failure is unchanged),240
Solenoid valve (normally closed 5V),Mechanical failure open (stuck open regardless of relay/power state),Zone continuously waters — root rot; water waste; not caught by NC fail-safe (power-on mechanical failure),10,Debris in valve seat; diaphragm failure; physical damage,2,NC selection handles power-loss case only; mechanical stuck-open bypasses all controls,10,200,Inline manual shutoff per zone; flow sensor (future); periodic physical inspection,None,200
Solenoid valve (normally closed 5V),Slow internal leak through closed valve,Gradual overwatering undetected — no alert; accumulates over days or weeks,5,Worn diaphragm/seat; particulates; valve age,4,None,9,180,Trend alert if moisture rises without watering event (ML layer),Minor (Pi ML layer could detect moisture rise trend more reliably),160
Power supply (12V DC adapter or battery),Complete failure (no output),Total site loss — ESP32 offline; all zones offline; valves fail-safe closed (NC); zone offline alert fires after 30 min,7,Wall adapter failure; battery depletion; blown fuse; mains outage,3,NC solenoids fail safe; zone offline alert fires after 30 min,7,147,Voltage monitoring on ESP32 ADC; UPS/battery backup,None,147

,,,,,,,,,,,
SITE INFRASTRUCTURE / UTILITY FAILURES,,,,,,,,,,,
Component,Failure_Mode,Effect,S,Cause,O,Current_Controls,D,RPN,Recommended_Action,Nerves_Pi_Impact,Residual_RPN_with_Nerves
Mains power supply (site),Wide supply voltage variation (confirmed 205–275VAC at site),Consumer-grade adapters rated 220–240V operate outside spec at 275V — PSU failure; over-voltage on 12V output; downstream hardware damage. At 205V output may sag and cause instability. Standard 90–264VAC wide-input PSUs are marginal at 275V.,8,Known site condition — measured 205–275VAC variation during the day; likely long LV feeder or poor local grid regulation,8,None — no voltage monitoring; standard consumer adapters specified,8,512,Mandatory — use industrial wide-input PSU rated 85–305VAC (e.g. Meanwell HDR-15-12 DIN rail); add Type 2 SPD (surge protection device) on mains input before PSU; verify PSU output voltage under both 205V and 275V input conditions; do NOT use consumer wall adapters at this site,None (hardware design issue),512
Irrigation water supply,Hard water — high calcium/mineral content causing scale and blockage,Calcium carbonate scale builds up in drip emitters; solenoid valve seats; moisture sensor faces; pipework. Emitters block progressively — dripper_fault fires repeatedly. Valve seats scale closed — valve fails to open. Sensor face coated — moisture readings drift low.,7,Confirmed site condition — hard water supply with high calcium and mineral content,8,dripper_fault detects no moisture rise after watering (catches emitter blockage and valve failure downstream); moisture sensor bounds check catches severe drift,5,280,Mandatory for this site — inline sediment filter + descaler or softener on supply before irrigation system; use emitters rated for hard water (pressure-compensating; self-flushing); periodic acid flush of drip lines (citric acid); alert on consecutive dripper_fault events per zone as early indicator of scale buildup; schedule sensor cleaning every 3 months,None (water chemistry issue),280
Mains power supply (site),Complete power loss,All site electronics dead; ESP32s offline; valves fail-safe closed (NC); zone offline alert fires after 30 min,8,Grid outage; blown MCB/fuse; accidental disconnect; storm damage,3,NC solenoids fail safe; zone offline alert after 30 min,7,168,UPS or battery backup at site; voltage monitoring on ESP32 ADC to detect pre-shutdown,None (hardware limitation),168
Irrigation water supply,Fertiliser over-concentration (fertigation),Excess EC damages plant roots; plants stress or die; no system detection,8,Dosing pump failure; manual error; evaporation concentrating tank; fertigation tank runs dry,2,None — no EC or water quality monitoring,9,144,EC sensor on irrigation outlet; visual check before watering events; ML layer anomaly detection on plant stress patterns,None,144
Irrigation line,Drip emitter blockage (partial or complete),Valve opens; no water reaches roots; dripper_fault fires after repeated failed watering events; plants dry out,7,Sediment; fertiliser precipitate; algae; root intrusion; filter bypass,5,dripper_fault detects no moisture rise after watering,4,140,Inline filter per zone feed; periodic flushing protocol; alert on consecutive dripper_fault events for same zone,None,140
Irrigation water supply,Water quality / chemical contamination,pH or chemical contamination damages plants; no system detection; damage seen only after plants affected,7,Mains supply event; algae bloom in tank; cross-contamination; pH crash,2,None,10,140,pH and EC sensors on supply line (future hardware); visual inspection of water source,None,140
Irrigation water supply,Complete water supply loss,Valves open normally; no water delivered; plants receive nothing; dripper_fault detects after one full cycle,9,Mains interrupted; isolation valve closed; supply pipe failure; pump failure (tank system),2,dripper_fault detects no moisture rise after watering — one cycle delay before detection,7,126,Flow sensor on main supply per site; alert if watering events fire but moisture consistently fails to rise,Minor (faster local alert on comms loss; still needs flow sensor for detection),112
Irrigation water supply,Low water pressure (partial flow),Valves open; insufficient flow for proper drip delivery; moisture may rise slowly or not at all,7,Multiple zones simultaneously open; supply pressure drop; partially blocked mainline; pump undersized,3,dripper_fault may partially detect via low moisture rise vs dripper_baseline; no pressure monitoring,6,126,Pressure regulator at site; stagger zone watering (no simultaneous open valves); flow sensor; pressure sensor on mainline,None,126
Outdoor environment,Heat / UV damage to electronics,ESP32 overheating causes reboots or sensor drift; enclosure UV degradation; accelerated component wear,6,Direct sun on enclosure; Australian summer temperatures; dark enclosure colour; no ventilation,3,air_temp monitored but not used to protect electronics; ESP32 WDT restarts on crash,5,90,UV-rated ventilated enclosure; mount in shade; alert if air_temp > 45C; white or reflective enclosure colour,None,90
Outdoor environment,Animal or pest interference (rodents / insects / birds),Cables chewed; sensors damaged; shorts or moisture ingress via unsealed enclosure entry points,6,Outdoor exposure; unprotected cable runs; unsealed enclosure gland entries,3,Downstream effects detected by sensor_ok or dripper_fault after failure occurs,5,90,Cable conduit or armoured cable; weatherproof gland entries; rodent-proof enclosure; periodic site inspection,None,90
Mains power supply (site),Brown-out / voltage sag,Unstable ESP32 operation; relay chatter; sporadic reboots; intermittent sensor errors; difficult to diagnose remotely,5,High local loads; grid instability; undersized supply cabling to site,2,None,7,70,UPS with AVR (automatic voltage regulation); monitor ESP32 reboot frequency as indirect indicator,None,70
Outdoor environment,Freezing conditions (frost),Water in exposed lines and valve bodies freezes; pipes burst or valve bodies crack; system inoperable on thaw,8,Below 0C ambient; exposed pipework; no freeze protection logic implemented,2,air_temp monitored via DHT22 — sub-zero temperatures detectable; no freeze-protection logic exists; Freeze protection implemented in zone_server.ex — alert fires at <=2C; stop command sent; watering suspended until temp rises above 4C,2,32,Freeze alert when air_temp < 2C; auto-close all valves and suspend watering when frost predicted; insulate exposed pipework,Significant — freeze protection now implemented in software: alert fires at <=2C; stop command sent to all valves; watering suspended until >4C; Nerves Pi can trigger this independently of central server,16
Outdoor environment,Lightning strike or power surge,Multiple simultaneous hardware failures across site; entire ESP32 board or power supply destroyed,10,Direct or nearby lightning strike; overhead power line induction; no surge protection specified,1,None,2,20,Surge protector on mains input; MOV/TVS diodes on data lines; metal enclosures earthed; equipment insurance,None,20

,,,,,,,,,,,
SITE INFRASTRUCTURE RISKS SUMMARY — RPN >= 100,,,,,,,,,,,
NOTE — Wide supply voltage variation (RPN 512) is the highest-risk item in the entire FMEA. It is a confirmed site condition and must be resolved before any hardware is deployed at this site.,,,,,,,,,,
Component,Failure_Mode,Effect,S,Cause,O,Current_Controls,D,RPN,Recommended_Action,Nerves_Pi_Impact,Residual_RPN_with_Nerves
Mains power supply (site),Wide supply voltage variation (confirmed 205–275VAC at site),Consumer-grade adapters rated 220–240V operate outside spec at 275V — PSU failure; over-voltage on 12V output; downstream hardware damage. At 205V output may sag and cause instability. Standard 90–264VAC wide-input PSUs are marginal at 275V.,8,Known site condition — measured 205–275VAC variation during the day; likely long LV feeder or poor local grid regulation,8,None — no voltage monitoring; standard consumer adapters specified,8,512,Mandatory — use industrial wide-input PSU rated 85–305VAC (e.g. Meanwell HDR-15-12 DIN rail); add Type 2 SPD (surge protection device) on mains input before PSU; verify PSU output voltage under both 205V and 275V input conditions; do NOT use consumer wall adapters at this site,None (hardware design issue),512
Irrigation water supply,Hard water — high calcium/mineral content causing scale and blockage,Calcium carbonate scale builds up in drip emitters; solenoid valve seats; moisture sensor faces; pipework. Emitters block progressively — dripper_fault fires repeatedly. Valve seats scale closed — valve fails to open. Sensor face coated — moisture readings drift low.,7,Confirmed site condition — hard water supply with high calcium and mineral content,8,dripper_fault detects no moisture rise after watering (catches emitter blockage and valve failure downstream); moisture sensor bounds check catches severe drift,5,280,Mandatory for this site — inline sediment filter + descaler or softener on supply before irrigation system; use emitters rated for hard water (pressure-compensating; self-flushing); periodic acid flush of drip lines (citric acid); alert on consecutive dripper_fault events per zone as early indicator of scale buildup; schedule sensor cleaning every 3 months,None (water chemistry issue),280
Mains power supply (site),Complete power loss,All site electronics dead; ESP32s offline; valves fail-safe closed (NC); zone offline alert fires after 30 min,8,Grid outage; blown MCB/fuse; accidental disconnect; storm damage,3,NC solenoids fail safe; zone offline alert after 30 min,7,168,UPS or battery backup at site; voltage monitoring on ESP32 ADC to detect pre-shutdown,None (hardware limitation),168
Irrigation water supply,Fertiliser over-concentration (fertigation),Excess EC damages plant roots; plants stress or die; no system detection,8,Dosing pump failure; manual error; evaporation concentrating tank; fertigation tank runs dry,2,None — no EC or water quality monitoring,9,144,EC sensor on irrigation outlet; visual check before watering events; ML layer anomaly detection on plant stress patterns,None,144
Irrigation line,Drip emitter blockage (partial or complete),Valve opens; no water reaches roots; dripper_fault fires after repeated failed watering events; plants dry out,7,Sediment; fertiliser precipitate; algae; root intrusion; filter bypass,5,dripper_fault detects no moisture rise after watering,4,140,Inline filter per zone feed; periodic flushing protocol; alert on consecutive dripper_fault events for same zone,None,140
Irrigation water supply,Water quality / chemical contamination,pH or chemical contamination damages plants; no system detection; damage seen only after plants affected,7,Mains supply event; algae bloom in tank; cross-contamination; pH crash,2,None,10,140,pH and EC sensors on supply line (future hardware); visual inspection of water source,None,140
Irrigation water supply,Complete water supply loss,Valves open normally; no water delivered; plants receive nothing; dripper_fault detects after one full cycle,9,Mains interrupted; isolation valve closed; supply pipe failure; pump failure (tank system),2,dripper_fault detects no moisture rise after watering — one cycle delay before detection,7,126,Flow sensor on main supply per site; alert if watering events fire but moisture consistently fails to rise,Minor (faster local alert on comms loss; still needs flow sensor for detection),112
Irrigation water supply,Low water pressure (partial flow),Valves open; insufficient flow for proper drip delivery; moisture may rise slowly or not at all,7,Multiple zones simultaneously open; supply pressure drop; partially blocked mainline; pump undersized,3,dripper_fault may partially detect via low moisture rise vs dripper_baseline; no pressure monitoring,6,126,Pressure regulator at site; stagger zone watering (no simultaneous open valves); flow sensor; pressure sensor on mainline,None,126
